hire_year,Status,hire_month,num_employees,experience_from_hire
2012,Resigned,6,29,13
2012,Active,6,127,13
2012,Terminated,7,8,13
2012,Retired,7,13,13
2012,Resigned,7,43,13
2012,Active,7,106,13
2012,Terminated,8,7,13
2012,Retired,8,11,13
2012,Resigned,8,29,13
2012,Active,8,114,13
2012,Terminated,9,11,13
2012,Retired,9,4,13
2012,Resigned,9,29,13
2012,Active,9,97,13
2012,Terminated,10,9,13
2012,Retired,10,6,13
2012,Resigned,10,34,13
2012,Active,10,119,13
2012,Terminated,11,4,13
2012,Retired,11,12,13
2012,Resigned,11,34,13
2012,Active,11,124,13
2012,Terminated,12,12,13
2012,Retired,12,10,13
2012,Resigned,12,32,13
2012,Active,12,132,13
2013,Terminated,1,11,12
2013,Retired,1,8,12
2013,Resigned,1,21,12
2013,Active,1,129,12
2013,Terminated,2,4,12
2013,Retired,2,9,12
2013,Resigned,2,29,12
2013,Active,2,115,12
2013,Terminated,3,11,12
2013,Retired,3,10,12
2013,Resigned,3,26,12
2013,Active,3,110,12
2013,Terminated,4,7,12
2013,Retired,4,10,12
2013,Resigned,4,35,12
2013,Active,4,110,12
2013,Terminated,5,14,12
2013,Retired,5,9,12
2013,Resigned,5,39,12
2013,Active,5,95,12
2013,Terminated,6,10,12
2013,Retired,6,6,12
2013,Resigned,6,34,12
2013,Active,6,115,12
2013,Terminated,7,7,12
2013,Retired,7,7,12
2013,Resigned,7,29,12
2013,Active,7,105,12
2013,Terminated,8,10,12
2013,Retired,8,4,12
2013,Resigned,8,46,12
2013,Active,8,115,12
2013,Terminated,9,7,12
2013,Retired,9,8,12
2013,Resigned,9,24,12
2013,Active,9,108,12
2013,Terminated,10,7,12
2013,Retired,10,8,12
2013,Resigned,10,37,12
2013,Active,10,138,12
2013,Terminated,11,9,12
2013,Retired,11,6,12
2013,Resigned,11,37,12
2013,Active,11,124,12
2013,Terminated,12,6,12
2013,Retired,12,8,12
2013,Resigned,12,35,12
2013,Active,12,128,12
2014,Terminated,1,6,11
2014,Retired,1,8,11
2014,Resigned,1,33,11
2014,Active,1,119,11
2014,Terminated,2,7,11
2014,Retired,2,4,11
2014,Resigned,2,29,11
2014,Active,2,103,11
2014,Terminated,3,11,11
2014,Retired,3,5,11
2014,Resigned,3,30,11
2014,Active,3,126,11
2014,Terminated,4,8,11
2014,Retired,4,14,11
2014,Resigned,4,29,11
2014,Active,4,121,11
2014,Terminated,5,9,11
2014,Retired,5,7,11
2014,Resigned,5,49,11
2014,Active,5,142,11
2014,Terminated,6,8,11
2014,Retired,6,10,11
2014,Resigned,6,39,11
2014,Active,6,115,11
2014,Terminated,7,10,11
2014,Retired,7,10,11
2014,Resigned,7,40,11
2014,Active,7,116,11
2014,Terminated,8,11,11
2014,Retired,8,12,11
2014,Resigned,8,46,11
2014,Active,8,120,11
2014,Terminated,9,10,11
2014,Retired,9,7,11
2014,Resigned,9,41,11
2014,Active,9,123,11
2014,Terminated,10,10,11
2014,Retired,10,13,11
2014,Resigned,10,25,11
2014,Active,10,116,11
2014,Terminated,11,9,11
2014,Retired,11,13,11
2014,Resigned,11,32,11
2014,Active,11,118,11
2014,Terminated,12,4,11
2014,Retired,12,7,11
2014,Resigned,12,51,11
2014,Active,12,137,11
2015,Terminated,1,12,10
2015,Retired,1,13,10
2015,Resigned,1,25,10
2015,Active,1,134,10
2015,Terminated,2,5,10
2015,Retired,2,10,10
2015,Resigned,2,39,10
2015,Active,2,120,10
2015,Terminated,3,10,10
2015,Retired,3,13,10
2015,Resigned,3,36,10
2015,Active,3,129,10
2015,Terminated,4,9,10
2015,Retired,4,7,10
2015,Resigned,4,27,10
2015,Active,4,120,10
2015,Terminated,5,10,10
2015,Retired,5,11,10
2015,Resigned,5,43,10
2015,Active,5,126,10
2015,Terminated,6,5,10
2015,Retired,6,9,10
2015,Resigned,6,26,10
2015,Active,6,108,10
2015,Terminated,7,3,10
2015,Retired,7,9,10
2015,Resigned,7,43,10
2015,Active,7,119,10
2015,Terminated,8,28,10
2015,Retired,8,30,10
2015,Resigned,8,96,10
2015,Active,8,330,10
2015,Terminated,9,36,10
2015,Retired,9,41,10
2015,Resigned,9,129,10
2015,Active,9,490,10
2015,Terminated,10,39,10
2015,Retired,10,27,10
2015,Resigned,10,141,10
2015,Active,10,519,10
2015,Terminated,11,37,10
2015,Retired,11,28,10
2015,Resigned,11,127,10
2015,Active,11,488,10
2015,Terminated,12,25,10
2015,Retired,12,30,10
2015,Resigned,12,157,10
2015,Active,12,455,10
2016,Terminated,1,39,9
2016,Retired,1,33,9
2016,Resigned,1,125,9
2016,Active,1,489,9
2016,Terminated,2,35,9
2016,Retired,2,25,9
2016,Resigned,2,129,9
2016,Active,2,472,9
2016,Terminated,3,39,9
2016,Retired,3,43,9
2016,Resigned,3,153,9
2016,Active,3,491,9
2016,Terminated,4,35,9
2016,Retired,4,44,9
2016,Resigned,4,135,9
2016,Active,4,491,9
2016,Terminated,5,45,9
2016,Retired,5,32,9
2016,Resigned,5,153,9
2016,Active,5,484,9
2016,Terminated,6,35,9
2016,Retired,6,35,9
2016,Resigned,6,124,9
2016,Active,6,470,9
2016,Terminated,7,37,9
2016,Retired,7,37,9
2016,Resigned,7,143,9
2016,Active,7,456,9
2016,Terminated,8,32,9
2016,Retired,8,36,9
2016,Resigned,8,158,9
2016,Active,8,461,9
2016,Terminated,9,41,9
2016,Retired,9,39,9
2016,Resigned,9,131,9
2016,Active,9,479,9
2016,Terminated,10,27,9
2016,Retired,10,31,9
2016,Resigned,10,140,9
2016,Active,10,485,9
2016,Terminated,11,31,9
2016,Retired,11,31,9
2016,Resigned,11,147,9
2016,Active,11,469,9
2016,Terminated,12,32,9
2016,Retired,12,29,9
2016,Resigned,12,124,9
2016,Active,12,452,9
2017,Terminated,1,26,8
2017,Retired,1,39,8
2017,Resigned,1,134,8
2017,Active,1,436,8
2017,Terminated,2,27,8
2017,Retired,2,38,8
2017,Resigned,2,106,8
2017,Active,2,446,8
2017,Terminated,3,38,8
2017,Retired,3,48,8
2017,Resigned,3,134,8
2017,Active,3,484,8
2017,Terminated,4,32,8
2017,Retired,4,39,8
2017,Resigned,4,137,8
2017,Active,4,490,8
2017,Terminated,5,31,8
2017,Retired,5,38,8
2017,Resigned,5,161,8
2017,Active,5,501,8
2017,Terminated,6,37,8
2017,Retired,6,36,8
2017,Resigned,6,146,8
2017,Active,6,490,8
2017,Terminated,7,39,8
2017,Retired,7,31,8
2017,Resigned,7,135,8
2017,Active,7,510,8
2017,Terminated,8,42,8
2017,Retired,8,36,8
2017,Resigned,8,108,8
2017,Active,8,485,8
2017,Terminated,9,38,8
2017,Retired,9,30,8
2017,Resigned,9,128,8
2017,Active,9,491,8
2017,Terminated,10,40,8
2017,Retired,10,39,8
2017,Resigned,10,146,8
2017,Active,10,515,8
2017,Terminated,11,32,8
2017,Retired,11,28,8
2017,Resigned,11,130,8
2017,Active,11,495,8
2017,Terminated,12,30,8
2017,Retired,12,41,8
2017,Resigned,12,145,8
2017,Active,12,523,8
2018,Terminated,1,27,7
2018,Retired,1,41,7
2018,Resigned,1,138,7
2018,Active,1,488,7
2018,Terminated,2,29,7
2018,Retired,2,31,7
2018,Resigned,2,121,7
2018,Active,2,419,7
2018,Terminated,3,40,7
2018,Retired,3,30,7
2018,Resigned,3,130,7
2018,Active,3,500,7
2018,Terminated,4,39,7
2018,Retired,4,28,7
2018,Resigned,4,134,7
2018,Active,4,486,7
2018,Terminated,5,31,7
2018,Retired,5,33,7
2018,Resigned,5,140,7
2018,Active,5,472,7
2018,Terminated,6,25,7
2018,Retired,6,25,7
2018,Resigned,6,137,7
2018,Active,6,465,7
2018,Terminated,7,28,7
2018,Retired,7,32,7
2018,Resigned,7,155,7
2018,Active,7,456,7
2018,Terminated,8,31,7
2018,Retired,8,39,7
2018,Resigned,8,135,7
2018,Active,8,455,7
2018,Terminated,9,45,7
2018,Retired,9,40,7
2018,Resigned,9,132,7
2018,Active,9,475,7
2018,Terminated,10,28,7
2018,Retired,10,45,7
2018,Resigned,10,149,7
2018,Active,10,515,7
2018,Terminated,11,26,7
2018,Retired,11,32,7
2018,Resigned,11,142,7
2018,Active,11,452,7
2018,Terminated,12,38,7
2018,Retired,12,36,7
2018,Resigned,12,141,7
2018,Active,12,493,7
2019,Terminated,1,36,6
2019,Retired,1,38,6
2019,Resigned,1,132,6
2019,Active,1,526,6
2019,Terminated,2,41,6
2019,Retired,2,25,6
2019,Resigned,2,114,6
2019,Active,2,417,6
2019,Terminated,3,41,6
2019,Retired,3,21,6
2019,Resigned,3,144,6
2019,Active,3,469,6
2019,Terminated,4,32,6
2019,Retired,4,36,6
2019,Resigned,4,133,6
2019,Active,4,444,6
2019,Terminated,5,39,6
2019,Retired,5,32,6
2019,Resigned,5,121,6
2019,Active,5,513,6
2019,Terminated,6,35,6
2019,Retired,6,40,6
2019,Resigned,6,113,6
2019,Active,6,478,6
2019,Terminated,7,34,6
2019,Retired,7,50,6
2019,Resigned,7,123,6
2019,Active,7,470,6
2019,Terminated,8,36,6
2019,Retired,8,37,6
2019,Resigned,8,111,6
2019,Active,8,480,6
2019,Terminated,9,33,6
2019,Retired,9,33,6
2019,Resigned,9,153,6
2019,Active,9,486,6
2019,Terminated,10,34,6
2019,Retired,10,31,6
2019,Resigned,10,143,6
2019,Active,10,491,6
2019,Terminated,11,30,6
2019,Retired,11,39,6
2019,Resigned,11,136,6
2019,Active,11,458,6
2019,Terminated,12,27,6
2019,Retired,12,41,6
2019,Resigned,12,156,6
2019,Active,12,451,6
2020,Terminated,1,46,5
2020,Retired,1,41,5
2020,Resigned,1,133,5
2020,Active,1,530,5
2020,Terminated,2,23,5
2020,Retired,2,37,5
2020,Resigned,2,134,5
2020,Active,2,458,5
2020,Terminated,3,33,5
2020,Retired,3,38,5
2020,Resigned,3,128,5
2020,Active,3,452,5
2020,Terminated,4,28,5
2020,Retired,4,35,5
2020,Resigned,4,161,5
2020,Active,4,493,5
2020,Terminated,5,32,5
2020,Retired,5,38,5
2020,Resigned,5,111,5
2020,Active,5,509,5
2020,Terminated,6,38,5
2020,Retired,6,42,5
2020,Resigned,6,159,5
2020,Active,6,449,5
2020,Terminated,7,30,5
2020,Retired,7,34,5
2020,Resigned,7,137,5
2020,Active,7,478,5
2020,Terminated,8,39,5
2020,Retired,8,34,5
2020,Resigned,8,164,5
2020,Active,8,589,5
2020,Terminated,9,44,5
2020,Retired,9,39,5
2020,Resigned,9,171,5
2020,Active,9,630,5
2020,Terminated,10,45,5
2020,Retired,10,39,5
2020,Resigned,10,181,5
2020,Active,10,588,5
2020,Terminated,11,34,5
2020,Retired,11,48,5
2020,Resigned,11,177,5
2020,Active,11,608,5
2020,Terminated,12,39,5
2020,Retired,12,43,5
2020,Resigned,12,163,5
2020,Active,12,593,5
2021,Terminated,1,47,4
2021,Retired,1,47,4
2021,Resigned,1,163,4
2021,Active,1,545,4
2021,Terminated,2,42,4
2021,Retired,2,33,4
2021,Resigned,2,134,4
2021,Active,2,552,4
2021,Terminated,3,36,4
2021,Retired,3,40,4
2021,Resigned,3,136,4
2021,Active,3,669,4
2021,Terminated,4,53,4
2021,Retired,4,41,4
2021,Resigned,4,178,4
2021,Active,4,601,4
2021,Terminated,5,54,4
2021,Retired,5,32,4
2021,Resigned,5,167,4
2021,Active,5,600,4
2021,Terminated,6,49,4
2021,Retired,6,40,4
2021,Resigned,6,171,4
2021,Active,6,597,4
2021,Terminated,7,45,4
2021,Retired,7,48,4
2021,Resigned,7,152,4
2021,Active,7,573,4
2021,Terminated,8,38,4
2021,Retired,8,47,4
2021,Resigned,8,169,4
2021,Active,8,620,4
2021,Terminated,9,34,4
2021,Retired,9,34,4
2021,Resigned,9,166,4
2021,Active,9,595,4
2021,Terminated,10,51,4
2021,Retired,10,43,4
2021,Resigned,10,165,4
2021,Active,10,607,4
2021,Terminated,11,37,4
2021,Retired,11,41,4
2021,Resigned,11,161,4
2021,Active,11,543,4
2021,Terminated,12,51,4
2021,Retired,12,46,4
2021,Resigned,12,171,4
2021,Active,12,616,4
2022,Terminated,1,34,3
2022,Retired,1,39,3
2022,Resigned,1,145,3
2022,Active,1,640,3
2022,Terminated,2,28,3
2022,Retired,2,50,3
2022,Resigned,2,133,3
2022,Active,2,561,3
2022,Terminated,3,46,3
2022,Retired,3,49,3
2022,Resigned,3,155,3
2022,Active,3,605,3
2022,Terminated,4,46,3
2022,Retired,4,48,3
2022,Resigned,4,178,3
2022,Active,4,577,3
2022,Terminated,5,36,3
2022,Retired,5,45,3
2022,Resigned,5,188,3
2022,Active,5,605,3
2022,Terminated,6,45,3
2022,Retired,6,47,3
2022,Resigned,6,143,3
2022,Active,6,538,3
2022,Terminated,7,36,3
2022,Retired,7,54,3
2022,Resigned,7,182,3
2022,Active,7,602,3
2022,Terminated,8,32,3
2022,Retired,8,24,3
2022,Resigned,8,175,3
2022,Active,8,602,3
2022,Terminated,9,54,3
2022,Retired,9,36,3
2022,Resigned,9,171,3
2022,Active,9,622,3
2022,Terminated,10,46,3
2022,Retired,10,44,3
2022,Resigned,10,179,3
2022,Active,10,618,3
2022,Terminated,11,33,3
2022,Retired,11,29,3
2022,Resigned,11,192,3
2022,Active,11,586,3
2022,Terminated,12,43,3
2022,Retired,12,45,3
2022,Resigned,12,156,3
2022,Active,12,631,3
2023,Terminated,1,42,2
2023,Retired,1,46,2
2023,Resigned,1,150,2
2023,Active,1,602,2
2023,Terminated,2,47,2
2023,Retired,2,43,2
2023,Resigned,2,151,2
2023,Active,2,498,2
2023,Terminated,3,41,2
2023,Retired,3,44,2
2023,Resigned,3,171,2
2023,Active,3,619,2
2023,Terminated,4,40,2
2023,Retired,4,43,2
2023,Resigned,4,161,2
2023,Active,4,590,2
2023,Terminated,5,36,2
2023,Retired,5,40,2
2023,Resigned,5,174,2
2023,Active,5,621,2
2023,Terminated,6,40,2
2023,Retired,6,36,2
2023,Resigned,6,158,2
2023,Active,6,531,2
2023,Terminated,7,48,2
2023,Retired,7,45,2
2023,Resigned,7,182,2
2023,Active,7,620,2
2023,Terminated,8,46,2
2023,Retired,8,38,2
2023,Resigned,8,165,2
2023,Active,8,563,2
2023,Terminated,9,44,2
2023,Retired,9,52,2
2023,Resigned,9,174,2
2023,Active,9,589,2
2023,Terminated,10,40,2
2023,Retired,10,39,2
2023,Resigned,10,189,2
2023,Active,10,596,2
2023,Terminated,11,42,2
2023,Retired,11,42,2
2023,Resigned,11,173,2
2023,Active,11,574,2
2023,Terminated,12,55,2
2023,Retired,12,52,2
2023,Resigned,12,183,2
2023,Active,12,616,2
2024,Terminated,1,43,1
2024,Retired,1,42,1
2024,Resigned,1,185,1
2024,Active,1,592,1
2024,Terminated,2,47,1
2024,Retired,2,33,1
2024,Resigned,2,153,1
2024,Active,2,535,1
2024,Terminated,3,39,1
2024,Retired,3,41,1
2024,Resigned,3,158,1
2024,Active,3,578,1
2024,Terminated,4,53,1
2024,Retired,4,47,1
2024,Resigned,4,189,1
2024,Active,4,584,1
2024,Terminated,5,48,1
2024,Retired,5,52,1
2024,Resigned,5,161,1
2024,Active,5,601,1
2024,Terminated,6,40,1
2024,Retired,6,43,1
2024,Resigned,6,145,1
2024,Active,6,586,1
2024,Terminated,7,36,1
2024,Retired,7,43,1
2024,Resigned,7,190,1
2024,Active,7,610,1
2024,Terminated,8,43,1
2024,Retired,8,49,1
2024,Resigned,8,174,1
2024,Active,8,604,1
2024,Terminated,9,39,1
2024,Retired,9,48,1
2024,Resigned,9,173,1
2024,Active,9,615,1
2024,Terminated,10,42,1
2024,Retired,10,41,1
2024,Resigned,10,184,1
2024,Active,10,599,1
2024,Terminated,11,38,1
2024,Retired,11,47,1
2024,Resigned,11,184,1
2024,Active,11,630,1
2024,Terminated,12,43,1
2024,Retired,12,61,1
2024,Resigned,12,182,1
2024,Active,12,603,1
2025,Terminated,1,51,0
2025,Retired,1,35,0
2025,Resigned,1,159,0
2025,Active,1,587,0
2025,Terminated,2,30,0
2025,Retired,2,43,0
2025,Resigned,2,167,0
2025,Active,2,552,0
2025,Terminated,3,49,0
2025,Retired,3,41,0
2025,Resigned,3,154,0
2025,Active,3,605,0
2025,Terminated,4,41,0
2025,Retired,4,37,0
2025,Resigned,4,197,0
2025,Active,4,558,0
2025,Terminated,5,51,0
2025,Retired,5,44,0
2025,Resigned,5,158,0
2025,Active,5,593,0
2025,Terminated,6,41,0
2025,Retired,6,36,0
2025,Resigned,6,195,0
2025,Active,6,577,0
2025,Terminated,7,33,0
2025,Retired,7,48,0
2025,Resigned,7,170,0
2025,Active,7,621,0
2025,Terminated,8,17,0
2025,Retired,8,17,0
2025,Resigned,8,74,0
2025,Active,8,260,0
